
承知しました。2025年6月、7月、8月に日本国内で開催される、一般来場可能な工場、DX、ロボット、FA関連の展示会やイベント、ならびに工場現場の意見が聞けるオンライン説明会・セミナーについて調査を開始します。

完了次第、結果をご報告いたしますので、しばらくお待ちください。


## 展示会（2025年6～8月、日本国内、一般参加可能）

| イベント名（開催期間）                                                | 開催場所             | 主な展示・テーマ内容                                                 | 一般参加                             | 公式ウェブサイトリンク                                                           |
| ---------------------------------------------------------- | ---------------- | ---------------------------------------------------------- | -------------------------------- | --------------------------------------------------------------------- |
| **関西ロボットワールド2025**<br>（2025年6月5日～6日）                       | インテックス大阪（大阪市）    | サービスロボット展・産業用ロボット展・次世代モビリティ展など、ロボット技術と宇宙産業の専門見本市           | **可**（事前登録で入場無料・当日登録は有料3,000円）   | [公式サイト](https://www.srobo.jp/)                                        |
| **FOOMA JAPAN 2025**<br>（2025年6月10日～13日）                   | 東京ビッグサイト（東京都）    | 世界最大級の食品製造総合展。食品加工機械・包装機械など21分野の最新ソリューションが約1000社出展         | **可**（完全事前登録制・登録無料）              | [公式サイト](https://www.foomajapan.jp/)                                   |
| **課題解決EXPO2025／西日本製造技術イノベーション**<br>（2025年7月2日～4日）          | 西日本総合展示場（北九州市）   | 地場企業の生産性向上・人材不足・カーボンニュートラル対応など課題解決の場を提供する製造技術展             | **可**（事前登録制・入場無料）                | [公式サイト](https://solution-expo.jp/)                                    |
| **ものづくりワールド \[東京] 2025**<br>（2025年7月9日～11日）                | 幕張メッセ（千葉市）       | 製造業向けIT・DXソリューションから部品・設備まで、9つの専門展で構成された日本最大級の製造業展示会        | **可**（事前登録制・入場無料）                | [公式サイト](https://www.manufacturing-world.jp/tokyo/ja-jp.html)          |
| **北陸ウェルディングフェスタ2025**<br>（2025年7月11日～12日）                  | 石川県産業展示館（石川県金沢市） | 溶接機材・産業機器の展示即売会。最新の溶接技術や製品が集まり、人手不足解消に繋がるソリューションも紹介        | **可**（事前登録制・入場無料）※事前登録にはID・PWが必要 | [案内サイト](https://mac-exe.co.jp/welding/welding_new/2024北陸ウェルディングフェスタ/) |
| **未来モノづくり国際EXPO2025**<br>（2025年7月16日～19日）                  | インテックス大阪（大阪市）    | 大阪・関西万博と連携した国際総合見本市。国内外から産業を支える先端技術・製品が一堂に集結し商談・交流を促進      | **可**（事前登録制・入場無料）                | [公式サイト](https://fmiexpo.nikkan.co.jp/)                                |
| **TECHNO-FRONTIER 2025（つながる工場 推進展 他）**<br>（2025年7月23日～25日） | 東京ビッグサイト（東京都）    | 製造業のDX推進を目的に、IoT/センサ、FA制御、ネットワーク、AI/データ活用などスマート工場技術が集まる専門展 | **可**（完全事前登録制・入場無料）              | [公式サイト](https://www.jma.or.jp/tf/)                                    |

## オンライン説明会・セミナー（2025年6～8月、一般参加可能）

| イベント名（開催日）                                                       | 開催形式             | 主な内容・テーマ                                                                                      | 一般参加              | 公式サイト（または申込ページ）                                                         |
| ---------------------------------------------------------------- | ---------------- | --------------------------------------------------------------------------------------------- | ----------------- | ----------------------------------------------------------------------- |
| **アナログ業務がDXでこう変わる！～製造現場のリアルな事例から学ぶペーパーレス化セミナー～**<br>（2025年6月10日） | オンライン（会場参加併用・浜松） | 中小製造業の現場における帳票のデジタル化・業務効率化の事例を多数紹介し、低コストでDXを進めるポイントを解説。講師とのQ\&Aや相談会も実施                        | **可**（参加無料、要事前申込） | [イベント詳細](https://sonomamadx.com/0610seminar/)                           |
| **製造現場のデータが宝の山に変わる～MES×実在庫IoTで始める工場DXの第一歩～**<br>（2025年6月17日）     | オンライン            | 製造現場データの活用によるDX効果を解説するウェビナー。MES提供企業とIoT在庫管理企業の共催で、実績収集のベストプラクティスやリアルタイム在庫管理、AI活用事例など具体例を交えて紹介 | **可**（参加無料、要事前申込） | [セミナー案内](https://smartcraft.jp/seminar/20250617/)                       |
| **工場データ活用のリアル！実際に使われる製造現場のデータ活用事例**<br>（2025年7月24日）              | オンライン            | 製造現場でのIoT/データ活用をテーマに、現場でありがちな失敗例や成功事例を踏まえてダッシュボードを改善し生産性向上に繋げるポイントを共有                         | **可**（参加無料、要事前申込） | [WingArc1st セミナー](https://info.wingarc.com/public/seminar/view/52603)   |
| **製造品質セミナー 2025夏 ～デジタル技術で革新する製造品質管理～**<br>（2025年7月22日）           | オンライン            | 製造業の品質管理・生産技術をテーマにした複数社協賛のオンラインカンファレンス。データ管理や品質保証に関する最新ソリューション事例や専門講演が行われる                    | **可**（参加無料、要事前申込） | [イベント情報](https://monoist.itmedia.co.jp/) *(主催：MONOist)*                 |
| **製造業DXアプローチオンラインセミナー ～事例から学ぶDX推進の基礎～**<br>（2025年8月22日）          | オンライン            | 製造業におけるDX推進方法を基礎から学べるセミナー。DXとは何かという基本から、推進に必要なポイントまで実際の事例を交えて紹介し、社内DXのヒントを提供                  | **可**（参加無料、要事前申込） | [セミナー申込](https://seminar.asprova.jp/9other/13692) *(主催：日立産業制御ソリューションズ)* |
